district,data type,year,gender,age group,number
Affoltern,Pop_Actual,2012,female,00_04,1289.0
Affoltern,Pop_Actual,2012,female,05_09,1365.0
Affoltern,Pop_Actual,2012,female,10_14,1388.0
Affoltern,Pop_Actual,2012,female,15_19,1359.0
Affoltern,Pop_Actual,2012,female,20_24,1279.0
Affoltern,Pop_Actual,2012,female,25_29,1309.0
Affoltern,Pop_Actual,2012,female,30_34,1494.0
Affoltern,Pop_Actual,2012,female,35_39,1736.0
Affoltern,Pop_Actual,2012,female,40_44,2153.0
Affoltern,Pop_Actual,2012,female,45_49,2245.0
Affoltern,Pop_Actual,2012,female,50_54,1936.0
Affoltern,Pop_Actual,2012,female,55_59,1673.0
Affoltern,Pop_Actual,2012,female,60_64,1580.0
Affoltern,Pop_Actual,2012,female,65_69,1376.0
Affoltern,Pop_Actual,2012,female,70_74,995.0
Affoltern,Pop_Actual,2012,female,75_79,684.0
Affoltern,Pop_Actual,2012,female,80_84,503.0
Affoltern,Pop_Actual,2012,female,85_89,303.0
Affoltern,Pop_Actual,2012,female,90_94,110.0
Affoltern,Pop_Actual,2012,female,95+,27.0
Affoltern,Pop_Actual,2013,male,00_04,1457.0
Affoltern,Pop_Actual,2013,male,05_09,1444.0
Affoltern,Pop_Actual,2013,male,10_14,1322.0
Affoltern,Pop_Actual,2013,male,15_19,1474.0
Affoltern,Pop_Actual,2013,male,20_24,1442.0
Affoltern,Pop_Actual,2013,male,25_29,1351.0
Affoltern,Pop_Actual,2013,male,30_34,1461.0
Affoltern,Pop_Actual,2013,male,35_39,1568.0
Affoltern,Pop_Actual,2013,male,40_44,2051.0
Affoltern,Pop_Actual,2013,male,45_49,2316.0
Affoltern,Pop_Actual,2013,male,50_54,2007.0
Affoltern,Pop_Actual,2013,male,55_59,1660.0
Affoltern,Pop_Actual,2013,male,60_64,1512.0
Affoltern,Pop_Actual,2013,male,65_69,1374.0
Affoltern,Pop_Actual,2013,male,70_74,1026.0
Affoltern,Pop_Actual,2013,male,75_79,651.0
Affoltern,Pop_Actual,2013,male,80_84,423.0
Affoltern,Pop_Actual,2013,male,85_89,186.0
Affoltern,Pop_Actual,2013,male,90_94,55.0
Affoltern,Pop_Actual,2013,male,95+,8.0
Affoltern,Pop_Actual,2013,female,00_04,1255.0
Affoltern,Pop_Actual,2013,female,05_09,1412.0
Affoltern,Pop_Actual,2013,female,10_14,1364.0
Affoltern,Pop_Actual,2013,female,15_19,1404.0
Affoltern,Pop_Actual,2013,female,20_24,1298.0
Affoltern,Pop_Actual,2013,female,25_29,1317.0
Affoltern,Pop_Actual,2013,female,30_34,1477.0
Affoltern,Pop_Actual,2013,female,35_39,1747.0
Affoltern,Pop_Actual,2013,female,40_44,2078.0
Affoltern,Pop_Actual,2013,female,45_49,2280.0
Affoltern,Pop_Actual,2013,female,50_54,2013.0
Affoltern,Pop_Actual,2013,female,55_59,1684.0
Affoltern,Pop_Actual,2013,female,60_64,1562.0
Affoltern,Pop_Actual,2013,female,65_69,1395.0
Affoltern,Pop_Actual,2013,female,70_74,1104.0
Affoltern,Pop_Actual,2013,female,75_79,715.0
Affoltern,Pop_Actual,2013,female,80_84,512.0
Affoltern,Pop_Actual,2013,female,85_89,322.0
Affoltern,Pop_Actual,2013,female,90_94,101.0
Affoltern,Pop_Actual,2013,female,95+,26.0
Affoltern,Pop_Actual,2014,male,00_04,1433.0
Affoltern,Pop_Actual,2014,male,05_09,1475.0
Affoltern,Pop_Actual,2014,male,10_14,1339.0
Affoltern,Pop_Actual,2014,male,15_19,1415.0
Affoltern,Pop_Actual,2014,male,20_24,1494.0
Affoltern,Pop_Actual,2014,male,25_29,1373.0
Affoltern,Pop_Actual,2014,male,30_34,1474.0
Affoltern,Pop_Actual,2014,male,35_39,1587.0
Affoltern,Pop_Actual,2014,male,40_44,2003.0
Affoltern,Pop_Actual,2014,male,45_49,2322.0
Affoltern,Pop_Actual,2014,male,50_54,2121.0
Affoltern,Pop_Actual,2014,male,55_59,1708.0
Affoltern,Pop_Actual,2014,male,60_64,1526.0
Affoltern,Pop_Actual,2014,male,65_69,1363.0
Affoltern,Pop_Actual,2014,male,70_74,1101.0
Affoltern,Pop_Actual,2014,male,75_79,690.0
Affoltern,Pop_Actual,2014,male,80_84,450.0
Affoltern,Pop_Actual,2014,male,85_89,191.0
Affoltern,Pop_Actual,2014,male,90_94,64.0
Affoltern,Pop_Actual,2014,male,95+,8.0
Affoltern,Pop_Actual,2014,female,00_04,1283.0
Affoltern,Pop_Actual,2014,female,05_09,1396.0
Affoltern,Pop_Actual,2014,female,10_14,1388.0
Affoltern,Pop_Actual,2014,female,15_19,1395.0
Affoltern,Pop_Actual,2014,female,20_24,1289.0
Affoltern,Pop_Actual,2014,female,25_29,1337.0
Affoltern,Pop_Actual,2014,female,30_34,1496.0
Affoltern,Pop_Actual,2014,female,35_39,1780.0
Affoltern,Pop_Actual,2014,female,40_44,2024.0
Affoltern,Pop_Actual,2014,female,45_49,2278.0
Affoltern,Pop_Actual,2014,female,50_54,2070.0
Affoltern,Pop_Actual,2014,female,55_59,1740.0
Affoltern,Pop_Actual,2014,female,60_64,1561.0
Affoltern,Pop_Actual,2014,female,65_69,1439.0
Affoltern,Pop_Actual,2014,female,70_74,1147.0
Affoltern,Pop_Actual,2014,female,75_79,748.0
Affoltern,Pop_Actual,2014,female,80_84,548.0
Affoltern,Pop_Actual,2014,female,85_89,341.0
Affoltern,Pop_Actual,2014,female,90_94,106.0
Affoltern,Pop_Actual,2014,female,95+,23.0
Affoltern,Pop_Actual,2015,male,00_04,1442.0
Affoltern,Pop_Actual,2015,male,05_09,1502.0
Affoltern,Pop_Actual,2015,male,10_14,1390.0
Affoltern,Pop_Actual,2015,male,15_19,1365.0
Affoltern,Pop_Actual,2015,male,20_24,1523.0
Affoltern,Pop_Actual,2015,male,25_29,1372.0
Affoltern,Pop_Actual,2015,male,30_34,1557.0
Affoltern,Pop_Actual,2015,male,35_39,1661.0
Affoltern,Pop_Actual,2015,male,40_44,1944.0
Affoltern,Pop_Actual,2015,male,45_49,2333.0
Affoltern,Pop_Actual,2015,male,50_54,2192.0
Affoltern,Pop_Actual,2015,male,55_59,1751.0
Affoltern,Pop_Actual,2015,male,60_64,1503.0
Affoltern,Pop_Actual,2015,male,65_69,1414.0
Affoltern,Pop_Actual,2015,male,70_74,1168.0
Affoltern,Pop_Actual,2015,male,75_79,729.0
Affoltern,Pop_Actual,2015,male,80_84,462.0
Affoltern,Pop_Actual,2015,male,85_89,216.0
Affoltern,Pop_Actual,2015,male,90_94,66.0
Affoltern,Pop_Actual,2015,male,95+,13.0
Affoltern,Pop_Actual,2015,female,00_04,1328.0
Affoltern,Pop_Actual,2015,female,05_09,1467.0
Affoltern,Pop_Actual,2015,female,10_14,1367.0
Affoltern,Pop_Actual,2015,female,15_19,1372.0
Affoltern,Pop_Actual,2015,female,20_24,1337.0
Affoltern,Pop_Actual,2015,female,25_29,1381.0
Affoltern,Pop_Actual,2015,female,30_34,1539.0
Affoltern,Pop_Actual,2015,female,35_39,1838.0
Affoltern,Pop_Actual,2015,female,40_44,1984.0
Affoltern,Pop_Actual,2015,female,45_49,2288.0
Affoltern,Pop_Actual,2015,female,50_54,2136.0
Affoltern,Pop_Actual,2015,female,55_59,1772.0
Affoltern,Pop_Actual,2015,female,60_64,1589.0
Affoltern,Pop_Actual,2015,female,65_69,1488.0
Affoltern,Pop_Actual,2015,female,70_74,1173.0
Affoltern,Pop_Actual,2015,female,75_79,813.0
Affoltern,Pop_Actual,2015,female,80_84,555.0
Affoltern,Pop_Actual,2015,female,85_89,347.0
Affoltern,Pop_Actual,2015,female,90_94,141.0
Affoltern,Pop_Actual,2015,female,95+,23.0
Affoltern,Pop_Actual,2016,male,00_04,1523.0
Affoltern,Pop_Actual,2016,male,05_09,1534.0
Affoltern,Pop_Actual,2016,male,10_14,1435.0
Affoltern,Pop_Actual,2016,male,15_19,1438.0
Affoltern,Pop_Actual,2016,male,20_24,1476.0
Affoltern,Pop_Actual,2016,male,25_29,1377.0
Affoltern,Pop_Actual,2016,male,30_34,1630.0
Affoltern,Pop_Actual,2016,male,35_39,1762.0
Affoltern,Pop_Actual,2016,male,40_44,1928.0
Affoltern,Pop_Actual,2016,male,45_49,2297.0
Affoltern,Pop_Actual,2016,male,50_54,2258.0
Affoltern,Pop_Actual,2016,male,55_59,1814.0
Affoltern,Pop_Actual,2016,male,60_64,1507.0
Affoltern,Pop_Actual,2016,male,65_69,1431.0
Affoltern,Pop_Actual,2016,male,70_74,1198.0
Affoltern,Pop_Actual,2016,male,75_79,771.0
Affoltern,Pop_Actual,2016,male,80_84,472.0
Affoltern,Pop_Actual,2016,male,85_89,248.0
Affoltern,Pop_Actual,2016,male,90_94,65.0
Affoltern,Pop_Actual,2016,male,95+,14.0
Affoltern,Pop_Actual,2016,female,00_04,1434.0
Affoltern,Pop_Actual,2016,female,05_09,1428.0
Affoltern,Pop_Actual,2016,female,10_14,1427.0
Affoltern,Pop_Actual,2016,female,15_19,1386.0
Affoltern,Pop_Actual,2016,female,20_24,1360.0
Affoltern,Pop_Actual,2016,female,25_29,1324.0
Affoltern,Pop_Actual,2016,female,30_34,1693.0
Affoltern,Pop_Actual,2016,female,35_39,1836.0
Affoltern,Pop_Actual,2016,female,40_44,2011.0
Affoltern,Pop_Actual,2016,female,45_49,2212.0
Affoltern,Pop_Actual,2016,female,50_54,2256.0
Affoltern,Pop_Actual,2016,female,55_59,1821.0
Affoltern,Pop_Actual,2016,female,60_64,1605.0
Affoltern,Pop_Actual,2016,female,65_69,1536.0
Affoltern,Pop_Actual,2016,female,70_74,1241.0
Affoltern,Pop_Actual,2016,female,75_79,851.0
Affoltern,Pop_Actual,2016,female,80_84,588.0
Affoltern,Pop_Actual,2016,female,85_89,359.0
Affoltern,Pop_Actual,2016,female,90_94,150.0
Affoltern,Pop_Actual,2016,female,95+,24.0
Affoltern,Pop_Actual,2017,male,00_04,1522.0
Affoltern,Pop_Actual,2017,male,05_09,1623.0
Affoltern,Pop_Actual,2017,male,10_14,1443.0
Affoltern,Pop_Actual,2017,male,15_19,1506.0
Affoltern,Pop_Actual,2017,male,20_24,1413.0
Affoltern,Pop_Actual,2017,male,25_29,1433.0
Affoltern,Pop_Actual,2017,male,30_34,1570.0
Affoltern,Pop_Actual,2017,male,35_39,1834.0
Affoltern,Pop_Actual,2017,male,40_44,1927.0
Affoltern,Pop_Actual,2017,male,45_49,2223.0
Affoltern,Pop_Actual,2017,male,50_54,2333.0
Affoltern,Pop_Actual,2017,male,55_59,1904.0
Affoltern,Pop_Actual,2017,male,60_64,1520.0
Affoltern,Pop_Actual,2017,male,65_69,1402.0
Affoltern,Pop_Actual,2017,male,70_74,1243.0
Affoltern,Pop_Actual,2017,male,75_79,852.0
Affoltern,Pop_Actual,2017,male,80_84,484.0
Affoltern,Pop_Actual,2017,male,85_89,260.0
Affoltern,Pop_Actual,2017,male,90_94,72.0
Affoltern,Pop_Actual,2017,male,95+,14.0
Affoltern,Pop_Actual,2017,female,00_04,1427.0
