name,address,lat,lng,type
Denner Discount,"Zürichstrasse 51, Affoltern am Albis",47.27613119999999,8.450270699999999,Denner
Denner Partner,"Albisstrasse 8, Kappel am Albis",47.229772,8.5272296,Denner
Denner Discount,"Oberdorfstrasse 6A, Baar",47.1958475,8.529828300000002,Denner
Denner Discount,"Zugerstrasse 47, Steinhausen",47.1917599,8.4884749,Denner
Denner Discount,"Hertizentrum 10, Zug",47.1780404,8.505821,Denner
Denner Discount,"Baarerstrasse 22, Zug",47.1734097,8.5170712,Denner
Denner Discount,"Hinterbergstrasse 40, Steinhausen",47.191997,8.477761,Denner
Seetal-Center Hochdorf,"Hauptstrasse 5, Hochdorf",47.1658333,8.2916667,Denner
Coop Supermarkt Cham Seehof,"Zugerstrasse 14, Cham",47.181466,8.461554399999999,Denner
ALDI SUISSE,"Obermühleweid 1, Cham",47.18565659999999,8.4556594,Aldi
ALDI SUISSE,"Alte Steinhauserstrasse 10, Cham",47.1873752,8.4757201,Aldi
ALDI SUISSE,"Gwärbstrasse 4, Honau",47.1316178,8.403156899999999,Aldi
ALDI SUISSE,"Oberdorfstrasse 9, Baar",47.1963426,8.5300228,Aldi
ALDI SUISSE,"Industriestrasse 5, Affoltern am Albis",47.2727428,8.447017899999999,Aldi
Lidl Schweiz,"Gotthardstrasse 2, Zug",47.17228739999999,8.5174525,Aldi
Hochdorf EKZ,"Hauptstrasse 5, Hochdorf",47.1661132,8.291483699999999,Aldi
Lidl Schweiz,"Centralweg 3, Affoltern am Albis",47.2780069,8.4530301,Aldi
Muris Market,"Luzernerstrasse 32, Muri",47.2707121,8.3430165,Aldi
Migros-Supermarkt - Baar,"Bahnhofstrasse 5, Baar",47.1955556,8.525,Aldi
Migros-Supermarkt - Cham - Neudorf,"Zugerstrasse 15/17, Cham",47.18240730000001,8.461297,Aldi
Migros-Supermarkt - Muri AG,"Kirchenfeldstrasse 8, Muri",47.2720122,8.3418444,Aldi
Lidl Schweiz,"Hinterbergstrasse 19, Cham",47.1879802,8.47784,Aldi
Coop Supermarkt Baar Oberdorf,"Oberdorfstrasse 6A, Baar",47.19560509999999,8.529992,Aldi
Denner Partner,"Albisstrasse 8, Kappel am Albis",47.229772,8.5272296,Aldi
Denner Partner,"Luzernerstrasse 10, Muri",47.2724083,8.3417698,Aldi
Lidl Schweiz,"Sagistrasse 10, Baar",47.1850661,8.5185,Aldi
Coop Supermarkt Cham Seehof,"Zugerstrasse 14, Cham",47.181466,8.461554399999999,Aldi
OTTO'S AG,"Stationsstrasse 3, Baldegg",47.1858483,8.279531799999999,Aldi
Volg Oberrüti,"Bahnhofstrasse 1, Oberrüti",47.1663693,8.395169,Aldi
Migros-Supermarkt - Unterägeri,"Zugerstrasse 32, Unterägeri",47.1380884,8.5795338,Migros
Migros-Supermarkt - Horgen - Schinzenhof,"Alte Landstrasse 24, Horgen",47.2604576,8.5973844,Migros
Migros-Supermarkt - Langnau a. A.,"Hintere Grundstrasse 2, Langnau am Albis",47.2913358,8.5378606,Migros
VOI Horgen,"Seestrasse 288, Horgen",47.2549206,8.612023899999999,Migros
Coop Supermarkt Langnau am Albis,"Höflistrasse 7, Langnau am Albis",47.2892437,8.5397724,Coop
Coop Supermarkt Horgen Waldegg,"Einsiedlerstrasse 301, Horgen",47.2454475,8.6079657,Coop
Coop Supermarkt Horgen Leue-Huus,"Zugerstrasse 35, Horgen",47.2592149,8.5987718,Coop
Coop Supermarkt Oberrieden,"Alte Landstrasse 26, Oberrieden",47.2782701,8.575498099999999,Coop
Coop Supermarkt Menzingen,"Carmelweg 1, Menzingen",47.1788523,8.588193,Coop
Coop Supermarkt Feldmeilen,"General-Wille-Strasse 65, Meilen",47.2795598,8.6153894,Coop
Coop Supermarkt Herrliberg,"Forchstrasse 45, Herrliberg",47.2862776,8.612815399999999,Coop
Coop Supermarkt Unterägeri Chilematt,"Waldheimstrasse 2, Unterägeri",47.13778610000001,8.5813355,Coop
Coop Supermarkt Oberägeri,"Hauptstrasse 15, Oberägeri",47.1350159,8.6129973,Coop
Coop Pronto Shop Horgen am Bahnhof,"Bahnhofstrasse 8, Horgen",47.2610931,8.597208000000002,Coop
SPAR Supermarkt Mettmenstetten,"Bahnhofstrasse 6/8, Mettmenstetten",47.2437599,8.4616419,Coop
Coop Pronto Shop mit Tankstelle Baar Sihlbruggstrasse,"Sihlbruggstrasse 152, Baar",47.2158993,8.5737694,Coop
Coop Pronto Shop mit Tankstelle Thalwil,"Seestrasse 67, Thalwil",47.2887054,8.5739479,Coop
Migros-Supermarkt - Unterägeri,"Zugerstrasse 32, Unterägeri",47.1380884,8.5795338,Coop
Lidl,"Gattikonerstrasse 135, Gattikon",47.28296,8.54392,Lidl
Lidl Schweiz,"Seestrasse 83 / 93, Horgen",47.2630694,8.591273600000001,Lidl
Aldi SUISSE,"General-Wille-Strasse 144, Meilen",47.2773348,8.617614999999999,Lidl
Lädeli und Werkstatt Tanne,"Alte Dorfstrasse 1, Langnau am Albis",47.2879624,8.5424696,Lidl
Denner Discount,"Zugerstrasse 32 / 34, Unterägeri",47.138071,8.5789168,Denner
Denner Discount,"Einkaufszentrum Schinzenhof, Dorfpl. 2, Horgen",47.259952,8.598059,Denner
Denner Discount,"Seestrasse 338, Horgen",47.2533677,8.6189602,Denner
Denner Express,"Neudorfstrasse 33, Menzingen",47.1768253,8.5933805,Denner
Denner Discount,"General-Wille-Strasse 144, Feldmeilen",47.2775352,8.6175988,Denner
Denner Express,"Hintere Grundstrasse 2, Langnau am Albis",47.2910976,8.5375936,Denner
Migros-Supermarkt - Horgen - Schinzenhof,"Alte Landstrasse 24, Horgen",47.2604576,8.5973844,Denner
Coop Supermarkt Baar Gotthard,"Poststrasse 3, Baar",47.1951121,8.5238544,Denner
Migros-Supermarkt - Cham - Neudorf,"Zugerstrasse 15/17, Cham",47.18240730000001,8.461297,Denner
Prima Herrliberg,"Rennweg 4, Herrliberg",47.2857847,8.6174876,Denner
Migros-Supermarkt - Zug Herti,"Hertizentrum 10, Zug",47.1780321,8.5059051,Denner
SPAR,"Buonaserstrasse 17, Risch-Rotkreuz",47.1412079,8.4308474,Denner
Coop Supermarkt Zug Neustadt,"Baarerstrasse 6, Zug",47.1709556,8.5164337,Denner
ALDI SUISSE,"Oberdorfstrasse 9, Baar",47.1963426,8.5300228,Denner
Migros-Supermarkt - Unterägeri,"Zugerstrasse 32, Unterägeri",47.1380884,8.5795338,Denner
Lidl Schweiz,"Hinterbergstrasse 19, Cham",47.1879802,8.47784,Denner
Coop Supermarkt Baar Oberdorf,"Oberdorfstrasse 6A, Baar",47.19560509999999,8.529992,Denner
Migros-Supermarkt - Langnau a. A.,"Hintere Grundstrasse 2, Langnau am Albis",47.2913358,8.5378606,Denner
SPAR Grocery Store Hünenberg,"Luzernerstrasse 101, Hünenberg",47.1734741,8.4490879,Denner
Coop Supermarkt Unterägeri Chilematt,"Waldheimstrasse 2, Unterägeri",47.13778610000001,8.5813355,Denner
Herti Mall,"Hertizentrum 10, Zug",47.1779576,8.5057368,Denner
Aldi SUISSE,"General-Wille-Strasse 144, Meilen",47.2773348,8.617614999999999,Denner
Coop Supermarkt Langnau am Albis,"Höflistrasse 7, Langnau am Albis",47.2892437,8.5397724,Denner
Coop Pronto Shop mit Tankstelle Baar Zugerstrasse,"Zugerstrasse 64, Baar",47.18483029999999,8.5201764,Denner
Volg Zug,"Oberallmendstrasse 24, Zug",47.18263899999999,8.5240227,Denner
Aldi SUISSE,"General-Wille-Strasse 144, Meilen",47.2773348,8.617614999999999,Aldi
Migros-Supermarkt - Horgen - Schinzenhof,"Alte Landstrasse 24, Horgen",47.2604576,8.5973844,Aldi
